DEPT,DTCO,DTSM,ECGR,Fac,PHIE_fin,RD,RHOB,SWE_INDO,TNPH,VSH_FINAL
5100,58.80039978,103.6516037,42.98450089,0,0,7.873400211,2.634299994,1,0.217059001,0.6109696
5100.5,51.54779816,93.80699158,38.05989838,0,0,73.13950348,2.839400053,1,0.071598999,0.4757844
5101,54.33509827,97.50870514,49.23989868,0,0,140.8502045,2.726399899,1,0.048767999,0.2892396
5101.5,67.69120026,112.7785034,123.5951996,0,0,30.80680084,2.706500053,1,0.095394,0.3847726
5102,65.08660126,114.7219925,72.55090332,0,0,7.23390007,2.634799957,1,0.212385997,0.5996933
5102.5,56.97819901,101.7032013,56.78850174,0,0,19.92239952,2.687799931,1,0.184426993,0.5891696
5103,58.6108017,96.04870606,52.3207016,0,0,25.04910088,2.784399986,1,0.111015998,0.5130756
5103.5,56.6590004,98.69290161,58.88359833,1,0.06225697,26.56119919,2.532799959,0.6375322,0.110477999,0.2252213
5104,61.63589859,109.5370026,69.11940002,1,0.085566998,15.61419964,2.284399986,0.8365248,0.085566998,0
5104.5,77.70120239,123.4180985,116.7506027,1,0.085406996,23.89909935,2.240400076,0.6774243,0.085406996,0
5105,74.71140289,137.7702026,117.8419037,1,0.130853742,8.435700417,2.395499945,0.5733542,0.226399005,0.3627302
5105.5,74.47720337,140.2787018,114.4213028,0,0,6.605500221,2.656100035,1,0.253581017,0.7283726
5106,75.67720032,145.5005035,118.8971024,0,0,6.671800137,2.663500071,1,0.261439979,0.7567206
5106.5,78.90270233,153.632782,127.6785965,0,0,6.744699955,2.656800032,1,0.266263008,0.7613173
5107,81.25019836,149.1920013,115.1949997,0,0,5.741499901,2.629699945,1,0.275601983,0.7541326
5107.5,62.74499893,111.9008026,66.64610291,0,0,8.247900009,2.644299984,1,0.19363001,0.562966
5108,62.59159851,109.5494995,82.65129852,0,0.029642954,24.86199951,2.605400085,0.8327599,0.130209997,0.357908
5108.5,63.34059525,102.285202,90.88960266,0,0,16.1746006,2.847700119,1,0.146249995,0.6744687
5109,68.24340057,123.4171982,102.9187012,0,0,12.9350996,2.808500052,1,0.152527005,0.6457442
5109.5,66.93540192,119.6547012,84.32389832,0,0.013445944,11.37419987,2.64380002,1,0.162856996,0.4843901
5110,64.38970184,103.9515991,79.31140137,1,0.125436127,14.62440014,2.404999971,0.5237208,0.139355004,0.1528993
5110.5,61.00920105,112.0028915,61.85350037,0,0.039920989,10.0486002,2.581899881,1,0.117216997,0.2982129
5111,71.47450256,138.5139008,112.6921997,1,0.118890002,16.55559921,2.39289999,0.5449115,0.118890002,0.08724446
5111.5,72.43389893,137.9411011,116.0249023,0,0,9.070500374,2.630000114,1,0.205366999,0.5764353
5112,72.31980133,134.5944061,118.9460983,0,0,8.315199852,2.653000116,1,0.225417003,0.6534497
5112.5,70.78869629,130.305603,109.4232025,0,0,7.111700058,2.689399958,1,0.261516005,0.7864048
5113,66.58580017,125.723999,111.3261032,0,0,7.586200237,2.632400036,1,0.237883002,0.661593
5113.5,75.85679627,115.2723999,97.13050079,0,0,8.898099899,2.624000073,1,0.200825989,0.5580922
5114,99.99410248,137.4992981,64.67759705,1,0.219801009,8.826800346,1.69599998,0.4331254,0.219801009,0
5114.5,75.30410004,131.6851959,95.65540314,1,0.219881997,27.32279968,2.153600216,0.238548,0.219881997,0.07076516
5115,72.96060181,139.2247009,111.8013001,0,0,9.903300285,2.644999981,1,0.276731998,0.7744188
5115.5,64.32820129,121.4868012,94.03800201,0,0,8.954099655,2.702399969,1,0.252938986,0.7794657
5116,62.4762001,104.4344025,65.08480072,1,0.106427029,13.5376997,2.443700314,0.5562335,0.178684995,0.2966641
5116.5,64.85919952,104.0358963,68.14099884,1,0.128382996,28.73830032,2.360599995,0.388732,0.128382996,0.07452913
5117,65.4437027,115.1650009,49.18569946,1,0.103290349,20.77630043,2.449599981,0.5268818,0.114640996,0.1410365
5117.5,71.34750366,119.1450043,84.43869782,1,0.198692977,18.88220024,2.254400015,0.2861607,0.253022999,0.2695526
5118,51.39679718,97.58550263,52.05450058,0,0,13.09179974,2.719500065,1,0.187700003,0.6335624
5118.5,65.06939697,97.30339813,42.93370056,1,0.073311999,35.59140015,2.4296,0.635911,0.073311999,0.01349787
5119,60.67440033,102.4417038,60.85290146,1,0.097749993,34.84740067,2.430900097,0.4548314,0.097749993,0.07692627
5119.5,66.2881012,119.9888992,88.81020355,0,0.031533457,15.15450001,2.601700068,1,0.137557998,0.3723213
5120,71.12409973,137.6197052,98.80110169,0,0,12.18299961,2.602400065,1,0.225599989,0.5962965
5120.5,67.87069702,122.4786987,89.49189758,0,0,8.142700195,2.737799883,1,0.32356602,0.9988075
5121,69.52210236,132.5007019,103.2185974,0,0,10.71959972,2.571399927,1,0.224993989,0.5594614
5121.5,68.98090363,130.9109039,97.65940094,0,0,7.445400238,2.720700026,1,0.241247997,0.7706679
5122,73.18959808,139.9501953,105.8747025,0,0,9.300999641,2.679100037,1,0.221627012,0.6735618
5122.5,72.72840118,138.1455994,110.2105026,0,0,6.796999931,2.702899933,1,0.331091017,0.978143
5123,70.37660217,133.024704,104.1894989,0,0,8.220000267,2.662100077,1,0.248013005,0.7210903
5123.5,71.62059784,136.9651032,115.1743012,0,0,7.565100193,2.701299906,1,0.240319997,0.7462251
5124,73.22550201,141.9727936,145.2205048,0,0,6.602900028,2.701200008,1,0.285656005,0.8610339
5124.5,72.76069641,114.4459992,78.38960266,0,0,5.399600029,2.654500008,1,0.237598985,0.6860378
5125,59.59479904,111.9563904,63.66859818,1,0.096350119,23.375,2.463500023,0.5291887,0.107377008,0.1384505
5125.5,63.47240067,105.0245972,81.67169952,1,0.073972002,42.45840073,2.321700096,0.5868077,0.073972002,0
5126,64.68520355,124.9884033,111.2874985,1,0.071670681,28.79380035,2.512300015,0.578634,0.104109004,0.1857338
5126.5,62.55770111,97.78900147,106.8121033,0,0,16.06450081,2.660000086,1,0.162565008,0.5020965
5127,70.85729981,129.292099,78.45300293,0,0.038703926,14.01329994,2.588399887,0.849097,0.182385996,0.4708115
5127.5,66.63809967,124.3685989,115.0122986,0,0.006044336,27.16279984,2.660300016,0.9275048,0.158737004,0.4927344
5128,74.22899628,142.165802,127.4335022,0,0,6.522299767,2.649199963,1,0.228757992,0.6575916
5128.5,74.80999756,141.240799,122.9169006,0,0,6.220600128,2.734100103,1,0.268458992,0.8549036
5129,74.4477005,139.7848053,120.0587006,0,0,6.786200047,2.696000099,1,0.273674995,0.8247421
5129.5,70.98989868,132.241394,111.259903,0,0,7.099599838,2.664400101,1,0.234638989,0.6898074
5130,69.08110046,127.6259003,113.297699,0,0,8.67539978,2.66779995,1,0.234850004,0.6942136
5130.5,67.05919647,123.1878967,98.5326004,0,0,9.253000259,2.669699907,1,0.20247601,0.6143121
5131,68.375,121.6353989,115.4488983,0,0,11.87300015,2.665800095,1,0.184664995,0.5647222
5131.5,66.03780365,119.8918991,98.20410156,0,0,9.374600411,2.619299889,1,0.181938991,0.5048634
5132,70.82969666,128.2442932,118.086998,0,0,17.95540047,2.650700092,1,0.181520999,0.5395585
5132.5,67.39209747,123.3070984,116.2617035,0,0,7.980500221,2.710199833,1,0.238281995,0.7511931
5133,69.31549835,128.8027954,116.2642975,0,0,11.06779957,2.665600061,1,0.192565009,0.5845202
5133.5,71.53790283,134.0401001,121.3767014,0,0,8.236100197,2.66260004,1,0.243117005,0.7092487
5134,75.30690765,143.0494995,113.8899002,0,0,6.407000065,2.629199982,1,0.26482299,0.7262396
5134.5,74.26270294,141.2570038,122.4208984,0,0,6.271500111,2.714600086,1,0.291902989,0.8921277
5135,74.75531006,140.3108978,119.0173035,0,0,6.458499908,2.654799938,1,0.249698013,0.7170492
5135.5,74.80139923,142.533905,123.1776962,0,0,6.897399902,2.694200039,1,0.301586002,0.8934442
5136,73.4937973,132.2586975,109.1249008,0,0,7.19080019,2.659499884,1,0.274590999,0.7855023
5136.5,69.11489868,123.5325012,105.8889999,0,0,9.568799973,2.678299904,1,0.208248004,0.6387361
5137,66.49720001,120.2579956,118.0976028,0,0,11.16489983,2.681400061,1,0.192276001,0.6017787
5137.5,68.74150085,123.1801987,121.4516983,0,0,9.726599693,2.722500086,1,0.229745001,0.7435586
5138,65.10820007,105.235199,99.09169769,1,0.09416429,12.96630001,2.468699932,0.6285028,0.164022997,0.2879638
5138.5,70.47650147,147.5005951,126.9568024,0,0,11.05220032,2.675100088,1,0.163253009,0.5210345
5139,70.47109985,117.3949966,120.8041,0,0,10.33619976,2.638700008,1,0.264748991,0.7368694
5139.5,74.56479645,149.5554962,120.7136993,0,0,7.53249979,2.71510005,1,0.269080013,0.8348429
5140,72.33209992,136.9134979,125.4019013,0,0,9.410200119,2.706500053,1,0.282981992,0.8602905
5140.5,71.582901,133.7906036,110.8076019,0,0,7.800300121,2.666599989,1,0.29085198,0.834807
5141,68.29530335,125.0529022,104.0642014,0,0,12.13630009,2.76060009,1,0.232413992,0.7937077
5141.5,71.52179718,134.4916992,132.3977051,0,0,7.612400055,2.701699972,1,0.244778007,0.7579813
5142,72.61419678,141.6553955,121.6871033,0,0,7.39440012,2.669800043,1,0.259146005,0.7580792
5142.5,75.15509796,146.8887024,123.1790009,0,0,5.988399983,2.678600073,1,0.310624987,0.8985939
5143,75.44110107,147.8482971,129.9992065,0,0,6.076000214,2.729599953,1,0.291839987,0.909048
5143.5,76.70249939,151.16922,128.9508057,0,0,6.171000004,2.729199886,1,0.305961013,0.9443879
5144,77.12830353,150.7131043,150.2875061,0,0,5.849400044,2.700900078,1,0.340755999,1
5144.5,76.76000214,147.8466034,147.403595,0,0,6.177800179,2.683599949,1,0.336589992,0.970106
5145,76.45309448,142.5823059,129.4609985,0,0,5.741899967,2.662899971,1,0.28628701,0.8190221
5145.5,72.86309815,132.3186951,123.8823013,0,0,8.052900314,2.746900082,1,0.250874996,0.8249048
5146,71.16970062,123.22509,115.9309998,0,0,9.843899727,2.646899939,1,0.235524997,0.6721264
5146.5,67.31230164,115.1765976,114.1162033,0,0.011443108,12.27439976,2.646899939,1,0.154473007,0.4666672
5147,61.97159958,105.3759995,111.9207993,0,0.007401995,19.21220017,2.656300068,1,0.138305992,0.4363891
5147.5,62.39530182,104.0001984,113.1635971,0,0.008941278,19.95240021,2.651000023,1,0.122523002,0.3903456
5148,64.52680206,107.3350983,108.927803,0,0,19.09129906,2.645699978,1,0.179024994,0.5275378
5148.5,60.45389938,94.24849701,86.18569946,0,0.009516865,34.17229843,2.649499893,0.9614637,0.118965,0.3796183
5149,58.76470184,84.17420197,99.14689636,0,0.024456359,25.15130043,2.617399931,0.8416928,0.139844999,0.3959957
5149.5,67.61689758,132.3408051,104.9462967,0,0,20.4817009,2.708100081,1,0.168789998,0.5726465
5150,64.5019989,118.9318008,133.0140076,0,0,17.82729912,2.680700064,1,0.204622999,0.6322801
5150.5,70.4693985,125.8576965,126.6356964,0,0,10.74069977,2.758399963,1,0.212747008,0.7413486
5151,69.42449951,122.7674027,131.0005035,0,0,11.40869999,2.687099934,1,0.198425993,0.6238586
5151.5,62.87670136,111.2706986,101.7558975,0,0.002969913,16.57080078,2.666300058,1,0.135987997,0.4418999
5152,66.76260376,119.8601914,125.2974014,0,0,12.0241003,2.711299896,1,0.207532004,0.6744974
5152.5,73.16860199,134.3105927,139.7398987,0,0,7.748400211,2.632400036,1,0.278299004,0.7640438
5153,78.26210022,145.5955963,144.262207,0,0,6.012800217,2.697799921,1,0.285364002,0.8564221
5153.5,75.29470062,137.929596,138.2194977,0,0,6.734300137,2.678999901,1,0.294674009,0.858615
5154,74.27480316,137.5570984,142.378006,0,0,7.16260004,2.701499939,1,0.26719901,0.8145887
5154.5,74.53240204,141.4266052,136.0733032,0,0,6.693500042,2.660900116,1,0.269381017,0.7738898
5155,76.46579742,147.7581024,138.8992004,0,0,5.815299988,2.69659996,1,0.288327992,0.8625692
5155.5,80.61180115,157.5827179,143.5187988,0,0,4.786499977,2.652299881,1,0.320600003,0.8939323
5156,82.49030304,160.3018036,147.7924042,0,0,4.492099762,2.701200008,1,0.303743005,0.9068827
5156.5,77.82279968,148.8130951,141.7371063,0,0,6.138100147,2.601000071,1,0.276623011,0.724041
5157,74.73329926,140.895401,116.7584,0,0,8.717900276,2.680999994,1,0.245177999,0.7354247
5157.5,77.80699921,149.6649933,120.3650971,0,0,7.209199905,2.600300074,1,0.254471004,0.6670907
5158,76.25569153,140.2899017,115.8025971,0,0,7.536200047,2.595999956,1,0.265673012,0.6905903
5158.5,72.54370117,130.3217011,119.8210983,0,0,8.548299789,2.598700047,1,0.265904009,0.6942503
5159,59.23590088,114.4672012,76.99060059,0,0,23.40920067,3.157099962,1,0.242219016,1
5159.5,68.34089661,123.2680054,97.72840118,0,0,10.12279987,2.84710002,1,0.162689,0.7154567
5160,67.2641983,118.5134964,97.07250214,0,0.015230432,13.4126997,2.637900114,1,0.141065002,0.4224313
5160.5,65.23919678,119.8452988,84.13500214,0,0,14.46329975,2.687900066,1,0.190482006,0.6046324
5161,74.80010223,133.2234039,109.4264984,0,0,7.161399841,2.617399931,1,0.246695995,0.666853
5161.5,74.51259613,138.6501007,109.5084992,0,0,7.134900093,2.691699982,1,0.223349005,0.692274
5162,72.8486023,137.0402069,109.634903,0,0,7.992400169,2.619499922,1,0.228257,0.622503
5162.5,76.31510162,138.3686066,116.115799,0,0,6.440199852,2.618000031,1,0.243668005,0.6598606
5163,73.81629944,126.8454056,103.4654999,0,0.029640339,7.328000069,2.607000113,1,0.15905501,0.4328493
5163.5,62.84560013,112.7830963,94.67520142,0,0,12.96580029,2.775399923,1,0.195876002,0.7179396
5164,71.16190338,126.4405975,107.6604996,0,0,7.619699955,2.610399962,1,0.195693001,0.5295944
5164.5,66.53579712,113.4101028,95.49500275,0,0,11.92459965,2.74819994,1,0.180428997,0.6478109
5165,65.58989716,120.3377991,75.37270355,0,0,13.99860001,2.774199963,1,0.165362001,0.639223
5165.5,74.4865036,133.8871002,109.6427994,0,0,7.059100151,2.608200312,1,0.240543008,0.6407803
5166,73.68489838,137.675293,112.3029022,0,0,4.994299889,2.626100063,1,0.235183999,0.6475777
5166.5,74.48180389,134.1083069,111.0286026,0,0,6.271399975,2.646600008,1,0.233726993,0.6672271
5167,71.67749786,123.5569,106.4421997,0,0.029819332,10.40250015,2.60770011,1,0.183495998,0.495602
5167.5,70.25209808,120.4700012,101.8557968,0,0,10.45639992,2.605499983,1,0.187141001,0.5023364
5168,62.58050156,112.1689987,75.18740082,0,0,18.2465992,2.802299976,1,0.160018995,0.6576758
5168.5,72.54499817,131.1914063,112.9662018,0,0,7.816699982,2.711999893,1,0.197760999,0.6505259
