DEPT,ECGR,RD,TNPH,RHOB,DTCO,DTSM
5130.5,102.5296021,4.460400105,0.287119985,2.664200068,80.53858948,157.8409882
5131,108.3507004,3.007400036,0.275828987,2.681899786,80.88300324,152.5988007
5131.5,96.88890076,3.305799961,0.233897001,2.747100115,81.78250122,153.6400909
5132,84.9905014,3.148600102,0.219964013,2.674799919,76.84060669,141.9667969
5132.5,79.61530304,7.081999779,0.240585998,2.691600084,68.88839722,124.4265976
5133,109.4054031,6.054900169,0.305996001,2.656699896,70.12550354,132.778595
5133.5,113.4346008,2.668100119,0.308827013,2.655499935,80.90460205,163.7026062
5134,99.6937027,2.321099997,0.322552979,2.638000011,87.3640976,172.6251984
5134.5,105.7830963,2.251600027,0.286861986,2.667900085,87.31060028,173.001297
5135,98.97530365,2.097800016,0.278400987,2.678100109,81.68659973,148.1940002
5135.5,102.9524994,4.023099899,0.295394987,2.664800167,77.16560364,144.9983978
5136,99.23899841,3.904200077,0.302066982,2.684999943,79.04029846,149.5070038
5136.5,108.6600037,3.617599964,0.231676996,2.704200029,78.34079742,145.532898
5137,87.03230286,4.056600094,0.177404001,2.681699991,74.1934967,137.5074005
5137.5,75.73799896,7.999000073,0.149644002,2.689500094,65.94960022,123.6755981
5138,69.56629944,10.2816,0.210266992,2.668299913,65.46589661,133.5944977
5138.5,100.4172974,4.173200131,0.267547995,2.680700064,79.12229919,147.6461945
5139,87.31569672,4.156899929,0.230050996,2.671200037,76.37219238,140.1269989
5139.5,70.02819824,4.359600067,0.180193991,2.66960001,70.12950134,127.8268967
5140,93.13220215,6.92140007,0.207884014,2.651000023,71.13619995,129.3480072
5140.5,84.76499939,5.13710022,0.202591986,2.66779995,74.02960205,133.7933044
5141,64.87740326,5.863800049,0.197300002,2.684600115,68.63580322,125.8466034
5141.5,83.97489929,7.87319994,0.224409014,2.676300049,72.51699829,133.3090057
5142,64.96589661,5.252999783,0.184682995,2.687400103,69.063797,128.396698
5142.5,45.33420181,8.425900459,0.128350005,2.71329999,59.63010025,112.088501
5143,84.83719635,14.59399986,0.171728,2.69630003,66.44120026,122.8487015
5143.5,81.66139984,5.207600117,0.227201998,2.668100119,71.67250061,135.4768066
5144,98.25080109,4.834899902,0.268900991,2.657500029,75.92488861,145.6851959
5144.5,95.85630035,3.370599985,0.258776009,2.668200016,79.00759888,150.6607819
5145,97.90370178,3.749000073,0.258960992,2.695100069,77.56478882,146.7774963
5145.5,106.4011993,3.654000044,0.264881998,2.637000084,78.73870087,148.0151062
5146,57.35910034,4.602900028,0.215534985,2.727300167,69.62940216,125.438797
5146.5,27.21139908,28.68560028,0.049865998,2.719300032,51.74020004,93.93099976
5147,57.03499985,93.29219818,0.055727001,2.695499897,53.29449844,96.290802
5147.5,61.13059998,37.07849884,0.093760006,2.711999893,58.08110428,100.7491989
5148,71.97470093,27.67219925,0.123142004,2.67779994,57.21060181,103.495903
5148.5,61.83420181,20.29430008,0.134462997,2.701999903,60.41629791,106.5358963
5149,69.71549988,21.31559944,0.128389001,2.685300112,60.69940567,106.6046066
5149.5,69.79389954,15.78899956,0.157647997,2.688499928,63.1169014,111.5463028
5150,69.8486023,13.20489979,0.194738999,2.710599899,62.54050064,112.8543015
5150.5,88.0687027,11.56029987,0.240835995,2.699399948,64.28679657,116.3459015
5151,103.7437973,7.069300175,0.241210997,2.69020009,68.96530151,127.1411972
5151.5,96.31430054,6.874199867,0.252357006,2.685600042,69.35030365,127.703598
5152,105.1640015,6.198999882,0.237992004,2.654999971,71.17449951,130.2328033
5152.5,98.44400024,5.015299797,0.249391988,2.681699991,73.2519989,134.9255981
5153,98.61009979,6.610599995,0.265641987,2.67689991,72.45670319,133.3134003
5153.5,109.5682983,5.963600159,0.252400011,2.670799971,71.48809815,129.6363983
5154,98.67939758,5.630199909,0.241112009,2.683799982,73.00499725,134.709198
5154.5,95.97589874,5.647600174,0.230629996,2.681899786,72.64900208,133.2097931
5155,107.5251999,5.965000153,0.221140996,2.680000067,71.7480011,131.7642975
5155.5,89.70749664,7.613100052,0.208782002,2.694099903,69.14129639,124.4412003
5156,93.21520233,8.663700104,0.231420994,2.683099985,66.30390167,118.4391022
5156.5,104.9916,9.242500305,0.250634998,2.686000109,68.56430054,123.6529007
5157,104.1462021,7.275800228,0.247103006,2.700299978,71.3757019,131.9631043
5157.5,98.45850372,5.699699879,0.178055987,2.71329999,73.36000061,140.2758942
5158,70.58350372,7.491700172,0.184041008,2.70359993,65.22129822,121.3336105
5158.5,67.02050018,10.51879978,0.123209998,2.669199944,63.55490494,117.4661026
5159,92.60970306,19.60409927,0.277884007,2.671900034,67.78119659,136.4615021
5159.5,100.4187012,4.762599945,0.278030008,2.668299913,78.41999817,149.0124054
5160,105.2092972,3.991600037,0.278174996,2.664700031,76.39759827,142.3840027
5160.5,105.4341965,4.79309988,0.283206999,2.67930007,74.91069794,141.7572937
5161,93.70359802,4.452499867,0.270366997,2.684099913,74.33350372,141.0767975
5161.5,104.6835022,4.816899777,0.290041,2.673099995,76.83641052,149.0213013
5162,102.9866028,3.954600096,0.300749004,2.671299934,78.42019653,152.7821045
5162.5,113.6712036,3.740200043,0.291132003,2.668200016,76.82160187,148.0727997
5163,115.9645004,4.196400166,0.299916983,2.664499998,77.3030014,151.0155029
5163.5,127.0774002,3.623600006,0.318132013,2.671900034,79.49209595,158.2536774
5164,123.5458984,3.203900099,0.331463993,2.658799887,81.04779816,162.1728973
5164.5,111.229599,2.999700069,0.323484987,2.66230011,82.51000977,164.1513062
5165,117.3131027,3.201200008,0.317907989,2.650700092,82.47608948,162.2480011
5165.5,94.07800293,2.965600014,0.303950995,2.713900089,82.4210968,160.9810028
5166,51.59299851,4.725900173,0.161392987,2.696399927,75.17479706,141.9839935
