DEPT,ECGR,RD,DTCO,DTSM,RHOB,TNPH,DTSM_predict
4956.5,55.82970047,7.862100124,70.09770203,139.0899963,2.554899931,0.13939999,116.95
4957,70.46350098,4.446499825,65.9375,107.6472015,2.764699936,0.141300008,112.14
4957.5,79.15100098,7.018199921,69.08200073,116.3794022,2.550100088,0.099200003,112.03
4958,88.60849762,4.036300182,68.68160248,111.1791992,2.683300018,0.124399997,117.67
4958.5,53.54970169,2.702500105,67.84179688,115.3658981,2.706599951,0.150900006,117.43
4959,36.53290176,1.876700044,67.82230377,113.5123901,2.771699905,0.161499992,117.03
4959.5,97.30010223,5.157800198,67.65619659,121.2867966,2.629400015,0.140399993,119.57
4960,117.6837997,5.990300179,61.66989517,111.0960007,2.741600037,0.115699999,109.19
4960.5,106.9844971,2.859699965,62.86130142,105.713501,2.795900106,0.16520001,111.75
4961,26.15029907,1.241000056,75.35160828,117.3420029,2.710099936,0.239399999,141.38
4961.5,32.16210175,2.147500038,75.95700073,145.2794952,2.79460001,0.231700003,140.79
4962,16.76510048,7.412099838,75.89840698,142.3507996,2.59100008,0.1602,126.12
4962.5,12.46549988,37.85350037,66.68939972,125.7565994,2.394799948,0.0779,99.56
4963,9.856499672,36.95399857,66.04489899,107.9729996,2.548599958,0.079999998,97.50
4963.5,12.14290047,48.36429977,67.8125,106.794693,2.459500074,0.048600003,100.89
4964,9.000800133,284.4501953,66.22070313,104.7385025,2.395499945,0.032899998,99.61
4964.5,8.668800354,1950,68.56439972,108.3379898,2.30430007,0.031800002,102.53
4965,10.49709988,1950,67.99810028,108.1078033,2.32130003,0.0328,102.33
4965.5,13.48589993,1001.006592,69.58010101,106.1632996,2.319200039,0.033700001,103.92
4966,16.36980057,708.9561157,69.62889862,109.2273026,2.36590004,0.0396,103.84
4966.5,10.60459995,148.2234955,68.16410065,106.8324966,2.414499998,0.0484,101.68
4967,10.34039974,43.81750107,65.52729797,106.7934952,2.503299952,0.059499998,97.61
4967.5,18.28490067,205.4369965,68.24220276,109.9396973,2.384999991,0.042399999,103.16
4968,12.53289986,140.6712036,69.53119659,111.362999,2.378900051,0.0383,103.62
4968.5,9.428600311,52.09149933,66.21089935,107.3836975,2.479000092,0.0462,98.05
4969,10.09959984,309.407898,67.87110138,106.0597,2.385200024,0.038199998,102.35
