DEPT,ECGR,RD,DTCO,DTSM,RHOB,TNPH
4946.5,103.2556992,18.13850021,69.32710266,123.8447037,2.710500002,0.254729986
4947,103.5651016,13.01369953,72.68779755,127.0285034,2.690299988,0.295091003
4947.5,87.9434967,8.186499596,65.59030151,119.1483002,2.695199966,0.273908019
4948,102.6631012,7.047599793,68.65859985,124.356308,2.727400065,0.275366992
4948.5,114.6634979,4.913499832,71.00669861,130.7276001,2.714299917,0.345055997
4949,114.2794037,8.189200401,72.37359619,132.5231934,2.690599918,0.377121002
4949.5,113.9643021,8.239999771,70.08209992,133.6036072,2.693200111,0.368801981
4950,129.7198029,10.36620045,77.24069977,145.3383026,2.715500116,0.376293004
4950.5,123.6535034,11.23709965,77.45179749,146.3724976,2.734699965,0.387629002
4951,108.895401,7.369100094,74.48371124,141.1051025,2.638900042,0.383956999
4951.5,103.2675018,8.692500114,76.33129883,142.7891998,2.70720005,0.36619702
4952,116.2501984,8.677499771,76.54519653,141.9519959,2.710999966,0.376814991
4952.5,108.7357025,8.011799812,73.11560059,134.9441986,2.643100023,0.359900028
4953,100.4993973,8.398099899,70.43699646,133.6358948,2.656599999,0.327005982
4953.5,110.331398,9.765999794,75.48079681,140.1580048,2.664200068,0.306849986
4954,106.0276032,12.78779984,75.6006012,140.7693939,2.71449995,0.32744202
4954.5,103.3544006,7.668700218,73.05750275,136.8079987,2.666500092,0.346729994
4955,101.4290009,7.665999889,75.39859009,140.2259979,2.649399996,0.34277302
4955.5,105.6945038,10.23989964,74.51699829,136.5980072,2.661299944,0.348247975
4956,91.8030014,7.684700012,72.71160126,135.0001068,2.642800093,0.326655984
4956.5,106.1976013,8.454999924,73.49729919,137.7947998,2.67140007,0.32247898
4957,114.8626022,9.056300163,75.61530304,140.1862946,2.670399904,0.35355702
4957.5,116.7008972,9.056799889,74.65329742,141.4868012,2.656599999,0.356663019
4958,112.8787994,8.291700363,75.24919891,147.628006,2.640700102,0.381108016
4958.5,122.9765015,9.047499657,76.86219788,149.7812958,2.639499903,0.406720996
4959,119.3510971,8.579299927,78.54499817,150.144104,2.700400114,0.397295982
4959.5,116.9462967,6.648600102,76.59860992,139.8307037,2.647599936,0.409664989
4960,98.35279846,7.82280016,70.5059967,126.8663025,2.724499941,0.380984008
4960.5,99.26779938,7.871099949,66.31069946,117.2244034,2.710199833,0.30845201
4961,78.98079681,11.17930031,63.97280121,116.7055969,2.712100029,0.253638983
4961.5,103.7984009,22.18689919,71.76629639,125.0170898,2.669899941,0.25017798
4962,85.86299896,14.10669994,63.67229843,113.8024979,2.610800028,0.291013002
4962.5,71.6595993,13.39019966,64.43890381,118.0074997,2.692399979,0.239596993
4963,102.972702,25.76779938,74.50050354,134.3921967,2.720499992,0.245627001
4963.5,98.03600311,11.77130032,70.07479858,126.2053986,2.643899918,0.332888991
4964,100.8843994,8.848899841,70.70249939,127.9680023,2.627099991,0.311186999
4964.5,119.2646027,12.63939953,74.97480011,138.8260956,2.646399975,0.316576004
4965,132.9833069,12.12829971,76.41459656,140.743103,2.648699999,0.382060021
4965.5,114.1232987,7.987299919,71.68689728,135.0818024,2.605700016,0.394656986
4966,132.3253021,7.672699928,76.66609192,142.4454041,2.666399956,0.375420004
4966.5,140.2097015,11.13869953,78.42979431,147.3901978,2.665999889,0.386442006
4967,126.0442963,9.596199989,72.68180084,128.4855957,2.609299898,0.427033991
4967.5,99.05789948,9.436200142,63.52059937,110.3388977,2.655200005,0.411722988
4968,91.03170013,14.41320038,62.6086998,104.2710037,2.756500006,0.266952992
4968.5,75.89679718,30.36400032,62.72040176,106.1492996,2.697400093,0.180021986
4969,74.65670013,25.5529995,64.63999939,111.9720001,2.687000036,0.161271989
4969.5,86.30329895,20.61499977,64.87220001,115.4962006,2.655499935,0.198936999
4970,114.3887024,28.21509934,72.58339691,124.6395035,2.671799898,0.212147012
4970.5,87.40480042,14.00010014,69.36930084,120.1557007,2.626499891,0.278831005
4971,82.38950348,15.50059986,64.01509857,113.6342011,2.665600061,0.232367992
4971.5,97.59989929,16.01239967,70.32959747,120.6018982,2.660000086,0.214561001
4972,82.89820099,17.96269989,64.61699677,111.7552033,2.650300026,0.237808004
4972.5,79.40879822,13.87660027,64.30220032,111.0279007,2.631400108,0.191881001
4973,89.14379883,29.34729958,66.20480347,111.9710007,2.699599981,0.186692998
4973.5,85.70939636,17.82239914,64.90129852,112.0457001,2.648400068,0.208162993
4974,89.0535965,19.93230057,66.47480011,112.0466003,2.663899899,0.201884002
4974.5,81.48200226,17.20120049,64.77980042,111.2578964,2.648799896,0.201473013
4975,74.33699799,19.04439926,62.84230042,105.2306976,2.687900066,0.187073991
4975.5,77.92630005,21.17399979,64.64009857,110.8450012,2.637399912,0.171481997
4976,73.90609741,32.7358017,62.51520157,105.4628983,2.707499981,0.185865
4976.5,69.88600159,17.01980019,63.11429977,105.0196075,2.663000107,0.165475994
4977,80.33670044,24.52709961,64.7009964,111.9541016,2.642299891,0.161706016
4977.5,74.06259918,25.81679916,64.21859741,107.0173035,2.676199913,0.188355014
4978,75.13549805,19.71710014,62.4496994,107.2208023,2.654500008,0.186061993
4978.5,87.97080231,21.29210091,66.85140228,112.4414978,2.692800045,0.167566001
4979,85.11199951,15.96710014,64.56069946,111.2918015,2.648900032,0.201727003
