DEPT,RHOB,TNPH,ECGR,RD,DTCO,DTSM
4087.5,2.51970005,0.297709018,97.03939819,0.747900009,99.59710693,214.0536957
4088,2.539700031,0.273313016,93.57230377,0.815299988,102.1445999,221.9916992
4088.5,2.632100105,0.250158012,98.57510376,0.779699981,99.82820129,214.6533966
4089,2.560199976,0.288984001,100.3450012,0.83069998,94.55989838,200.035614
4089.5,2.524199963,0.300852001,78.18939972,1.015599966,99.15930176,211.3309937
4090,2.500699997,0.291853011,93.08920288,0.802100003,101.2421036,219.5227051
4090.5,2.519299984,0.303285003,92.52189636,0.712499976,103.0498962,228.4494171
4091,2.51850009,0.314871013,100.0159988,0.680000007,102.4077988,228.7588043
4091.5,2.517100096,0.300718993,102.1418991,0.66960001,101.9098969,223.0321045
4092,2.509500027,0.298687995,95.24009705,0.690599978,101.7332001,223.6513977
4092.5,2.530299902,0.286624998,93.31610107,0.691699982,102.0923996,224.1244965
4093,2.549099922,0.289918989,95.75039673,0.706200004,100.1977005,220.0213928
4093.5,2.506200314,0.290053994,95.96369934,0.752900004,99.46759796,216.1210938
4094,2.509900093,0.292530984,85.02100372,0.751500011,101.9124069,220.407196
4094.5,2.508100033,0.295161009,95.74420166,0.714399993,101.6324997,223.8448944
4095,2.521600008,0.289303005,96.49099731,0.734799981,101.131897,222.1087036
4095.5,2.510799885,0.287907988,97.31279755,0.717499971,99.10710144,215.4268036
4096,2.514300108,0.303479016,89.17379761,0.790899992,99.88770294,215.9835968
4096.5,2.517100096,0.278370976,100.8693008,0.72210002,102.1222992,225.5043945
4097,2.510400057,0.288639993,103.4441986,0.788299978,100.7278976,221.0245972
4097.5,2.50090003,0.304561019,98.82219696,0.834100008,100.5195007,217.1372986
4098,2.486099958,0.310639978,99.47170258,0.771300018,102.5858994,224.5236054
4098.5,2.511100054,0.293157011,104.5315018,0.821500003,102.9813995,228.2337036
4099,2.736500025,0.277626991,96.87750244,0.687399983,102.4197006,226.1871033
4099.5,2.658899784,0.259259999,89.6651001,0.744400024,97.4693985,216.225296
4100,2.495300055,0.295258015,73.04799652,1.189200044,93.29589844,191.3952026
4100.5,2.507699966,0.298810989,98.76010132,0.755400002,103.3347015,220.7579041
4101,2.646199942,0.284832001,103.0005035,0.753400028,102.5451965,226.0583954
4101.5,2.510400057,0.305483997,98.07489777,0.716400027,96.00400543,215.6649017
4102,2.504199982,0.329935998,79.63200378,1.345999956,92.9539032,198.7947998
4102.5,2.509200096,0.314466,115.2037964,0.7051,103.2090988,227.2406006
4103,2.503900051,0.338676989,108.1055985,0.684300005,103.0904007,228.1864014
4103.5,2.49119997,0.322373986,96.81410217,0.739899993,103.3800964,228.341507
4104,2.485300064,0.326786012,105.2939987,0.730099976,102.1781998,228.7483978
4104.5,2.499700069,0.314186007,106.3026962,0.693799973,104.0141983,233.5357971
4105,2.497999907,0.325237006,103.9065018,0.689499974,104.0839005,233.1040039
4105.5,2.501600027,0.326081008,106.3003006,0.72299999,102.6847,230.3063965
4106,2.521800041,0.326454997,106.1276016,0.681999981,103.6456986,229.3650971
4106.5,2.493499994,0.323305011,110.5645981,0.712899983,102.4684982,229.5715027
4107,2.509000063,0.325843006,112.3218994,0.740199983,102.4626999,226.0397034
4107.5,2.499500036,0.315160006,110.8753967,0.706799984,102.4285965,226.5789948
4108,2.503999949,0.282038003,110.677803,0.670300007,102.8265991,228.6109009
4108.5,2.504400015,0.317465007,103.8003006,0.731400013,102.9848023,231.392807
4109,2.501499891,0.314599007,102.8525009,0.757399976,102.4290009,227.4107971
4109.5,2.511100054,0.283257008,104.3703003,0.72329998,102.3922043,227.5404968
4110,2.506700039,0.305023015,101.6634979,0.612900019,102.8142014,229.537796
4110.5,2.500799894,0.324690014,102.8057022,0.73180002,103.2540894,231.0258026
4111,2.521199942,0.31822902,110.6509018,0.787000001,103.2385101,229.3977966
4111.5,2.511600018,0.370411009,107.0647965,0.695500016,103.1715088,222.3087158
4112,2.523200035,0.329174995,110.7939987,0.674000025,103.7696991,228.6764221
4112.5,2.516900063,0.321561009,105.979599,0.703499973,102.4682007,229.1059876
4113,2.520400047,0.294474006,103.6389999,0.65200001,103.1194,229.1458893
4113.5,2.504400015,0.358075976,96.60500336,0.746999979,102.8795013,230.9537964
4114,2.527400017,0.328634977,100.1146011,0.708700001,102.1441956,227.1552887
4114.5,2.510400057,0.333872974,100.1985016,0.726800025,102.1001053,225.5041962
4115,2.516599894,0.289696991,95.10790253,0.769599974,101.6688995,220.6657105
4115.5,2.512099981,0.302965999,101.9175034,0.730599999,101.9565964,221.4477997
4116,2.512599945,0.336851001,107.2375031,0.719600022,102.126297,227.9132996
4116.5,2.504199982,0.335236013,102.6638031,0.737100005,101.7899094,228.6038055
4117,2.509599924,0.317369014,102.6857987,0.800999999,101.722702,227.1167145
4117.5,2.507699966,0.335292012,99.72250366,0.730199993,101.1769028,225.6134949
4118,2.512300015,0.319343001,104.4110031,0.732599974,101.8795013,225.0437927
4118.5,2.497200012,0.294859022,106.2789993,0.748000026,102.4453964,229.5776978
4119,2.523499966,0.330760002,103.8116989,0.771899998,102.4981995,230.8110962
4119.5,2.511899948,0.291536003,102.910202,0.706700027,101.6289978,227.5061035
4120,2.526599884,0.336587995,102.1780014,0.708700001,100.9205017,223.7561951
4120.5,2.5151999,0.320689023,110.5403976,0.746800005,101.5540009,224.8482971
4121,2.597599983,0.361876994,103.1950989,0.733399987,102.4095993,228.9358063
4121.5,2.566200018,0.324683994,88.0714035,0.977500022,101.2706986,225.1327972
4122,2.517100096,0.354247004,108.9346008,0.752699971,94.56529999,211.2519074
4122.5,2.527800083,0.331027985,104.7514038,0.716700018,102.7300034,223.5733032
4123,2.494100094,0.344604999,109.7692032,0.673200011,99.91459656,229.1669006
4123.5,2.504800081,0.351217002,114.9768982,0.68690002,102.2469025,229.2577057
4124,2.498699904,0.351060987,112.4765015,0.707499981,104.0700989,236.3905029
4124.5,2.501600027,0.344388008,101.3823013,0.763499975,103.4224014,234.3075867
4125,2.506599903,0.374278992,103.7475967,0.724600017,103.2301025,233.2904968
4125.5,2.51060009,0.32032299,101.9039993,0.711899996,102.7301025,231.1611023
4126,2.485300064,0.301027,96.62719727,0.696200013,103.0817032,227.8838959
4126.5,2.510900021,0.330138028,106.4569016,0.715200007,103.2466965,229.3601074
4127,2.503400087,0.328736007,100.3933029,0.688600004,101.3454971,215.9542084
4127.5,2.501399994,0.341607004,106.6197968,0.745800018,102.739502,227.2835999
4128,2.486399889,0.320820004,106.8110962,0.739499986,102.2848053,224.1611939
4128.5,2.508500099,0.321230024,103.4652023,0.688499987,102.9419022,229.8096008
4129,2.515100002,0.324189991,101.8638992,0.800000012,102.2659988,228.4837036
4129.5,2.507999897,0.299957007,104.5121002,0.930000007,101.1162949,225.2604981
4130,2.504600048,0.326440007,108.6408005,0.738300026,99.83010864,224.8047943
4130.5,2.512000084,0.316201985,105.4517975,0.737399995,100.2192993,211.0549011
4131,2.506799936,0.323460013,109.7507019,0.726100028,102.3721008,224.1342926
4131.5,2.530999899,0.310393989,104.6034012,0.792900026,103.4060974,227.7812958
4132,2.519399881,0.346813023,105.6589966,0.834200025,102.4827957,228.9730988
4132.5,2.510999918,0.335605025,106.9833984,0.715600014,102.3553009,226.6230164
4133,2.502599955,0.325570971,116.6762009,0.709699988,103.6844025,232.5807037
4133.5,2.507999897,0.312110007,107.4792023,0.710399985,103.293602,231.9676056
4134,2.512599945,0.336213976,98.16369629,0.708199978,103.569603,231.9738007
4134.5,2.520499945,0.346913993,113.3467026,0.732599974,102.5138016,228.3072968
4135,2.489700079,0.31863001,106.5863037,0.741999984,102.1789017,228.1750031
4135.5,2.49119997,0.308607996,110.7742004,0.827199996,102.0923996,226.3625946
4136,2.500999928,0.312913001,103.1507034,0.738900006,102.2947006,227.064682
4136.5,2.508399963,0.355802,112.0839005,0.767400026,102.604599,226.1882019
4137,2.493700028,0.335714996,102.8178024,0.759199977,102.4002991,225.8161926
4137.5,2.518100023,0.320042014,102.7289963,0.835799992,102.8998032,229.6983032
4138,2.514300108,0.33671701,102.5662003,0.698599994,103.1912003,230.2205048
4138.5,2.492399931,0.322340012,108.1968994,0.668500006,102.7575989,228.8088989
4139,2.493799686,0.329837978,107.5161972,0.648899972,103.2863007,229.8731995
4139.5,2.501300097,0.351590991,106.6800995,0.709699988,103.6444016,232.3062134
4140,2.494499922,0.323853999,109.8024979,0.711199999,103.5992966,232.6972046
4140.5,2.494999886,0.348737001,107.9897003,0.709299982,103.5740967,231.1804047
4141,2.493999958,0.304037988,100.5240021,0.73089999,103.6259003,232.2657013
4141.5,2.511600018,0.309778988,107.178299,0.744300008,102.9524002,227.4803009
4142,2.496999979,0.340318978,107.6197968,0.731100023,102.6866989,220.7310028
4142.5,2.493099928,0.336110979,101.1752014,0.742900014,102.526001,227.8117981
4143,2.494399786,0.332589001,99.56960297,0.734899998,102.496109,229.399704
4143.5,2.496099949,0.317685008,105.4665985,0.746900022,102.7382965,225.2281036
4144,2.504100084,0.315196008,107.6099014,0.691600025,102.9577942,229.0632935
4144.5,2.493799686,0.361285031,108.3942032,0.754400015,102.9648972,227.3950958
4145,2.486799955,0.314022005,106.3248978,0.730300009,103.2833023,229.2140045
4145.5,2.508599997,0.317824006,107.4273987,0.613699973,103.170311,227.9293976
4146,2.496900082,0.328866005,103.8190994,0.746599972,102.683197,226.9403076
4146.5,2.487400055,0.298061013,105.9944,0.769599974,103.2994995,226.4378967
4147,2.487600088,0.317268014,103.0335999,0.718699992,103.4373016,228.5832062
4147.5,2.495100021,0.295855999,105.4468994,0.729200006,103.7378998,224.4734955
4148,2.475500107,0.308860004,113.4871979,0.809099972,103.3747025,223.7062073
4148.5,2.489300013,0.267154992,100.3637009,0.877099991,102.4328003,220.0193024
4149,2.490799904,0.304886997,96.05989838,0.758300006,99.24420166,213.2292938
4149.5,2.507699966,0.33504799,96.00319672,0.750800014,101.9411011,214.5579071
4150,2.500799894,0.330663979,96.66419983,0.724699974,102.6631012,220.2413025
4150.5,2.487600088,0.312768012,99.93460083,0.725499988,103.0710983,224.5742798
4151,2.478899956,0.294322997,95.86750031,0.663699985,103.123497,224.6118927
4151.5,2.495699883,0.305478007,95.47290039,0.716300011,102.1173019,220.9633026
4152,2.497100115,0.352919012,104.6762009,0.732500017,103.2993927,228.0809021
4152.5,2.484100103,0.325060993,110.1822968,0.710699976,103.2025986,229.9739075
4153,2.489700079,0.354548991,106.2212982,0.725399971,104.0962982,229.5567017
4153.5,2.494299889,0.311679989,100.8151016,0.708199978,102.8307037,230.2108002
4154,2.497499943,0.33010602,107.4470978,0.700900018,103.2872009,228.8439026
4154.5,2.503000021,0.30034402,108.1327972,0.741400003,103.3041916,229.028595
4155,2.4993999,0.320787013,108.4163971,0.680800021,102.8143997,227.1063995
4155.5,2.488699913,0.316606998,101.678299,0.811200023,103.0449982,231.3690949
4156,2.510699987,0.28026399,102.2894974,0.665000022,102.3587036,224.3433991
4156.5,2.49729991,0.289245009,98.9776001,0.771899998,102.4721985,225.1880035
4157,2.496099949,0.289591998,102.5686035,0.694800019,103.2990036,226.508606
4157.5,2.500799894,0.320984989,104.5317993,0.718900025,103.4115982,223.855896
4158,2.494399786,0.324788004,106.4136963,0.751999974,103.3891983,221.9332123
4158.5,2.494899988,0.329087973,110.342598,0.855799973,101.5262985,221.9841003
4159,2.490499973,0.320038974,108.0636978,0.818700016,100.9490967,213.9120026
4159.5,2.485800028,0.290073991,105.7330017,0.705900013,101.5930939,209.2198944
4160,2.496900082,0.308728993,97.53479767,1.092900038,101.4169998,218.0923004
4160.5,2.497900009,0.287441015,98.42019653,0.791000009,100.5530014,215.4919128
4161,2.4848001,0.270233005,93.72429657,0.878199995,101.5162964,216.8531036
4161.5,2.474999905,0.306560993,99.30020142,0.715399981,102.7117004,217.7615051
4162,2.47480011,0.298896998,99.66570282,0.782700002,103.0994034,222.9891968
4162.5,2.485800028,0.286790997,92.90299988,0.656799972,102.5916977,223.0442047
4163,2.485100031,0.302572995,99.99620056,0.604600012,102.2576981,220.9819946
4163.5,2.488399983,0.274748981,106.0066986,0.757799983,102.6757965,223.3963928
4164,2.491499901,0.347485006,107.2604981,0.560800016,103.4264984,225.7949982
4164.5,2.490600109,0.317528993,99.39250183,0.712199986,103.3429108,228.6564026
4165,2.482500076,0.297210008,105.4383011,0.716600001,102.9354019,227.2619934
4165.5,2.473200083,0.305869013,101.4613037,0.751500011,103.0258026,224.5697174
4166,2.496299982,0.294395,98.61509705,0.706900001,102.6150971,227.5092926
4166.5,2.488100052,0.328368992,107.5519028,0.67809999,102.6931,220.1515961
4167,2.48149991,0.306694001,104.1664963,0.717199981,102.9996033,226.1365967
4167.5,2.4921,0.330749005,101.5895004,0.634299994,103.7450028,229.4500885
4168,2.5006001,0.332047015,98.04460144,0.729799986,103.2907028,225.8464966
4168.5,2.488899946,0.318796992,101.7646027,0.686100006,103.4417038,223.3343964
4169,2.496099949,0.334376991,97.21420288,0.686999977,103.7658005,228.9633942
4169.5,2.487999916,0.311861992,104.6280975,0.638999999,103.6067963,229.0883942
4170,2.489799976,0.31932801,102.9052963,0.646499991,103.8178024,230.2841034
4170.5,2.483700037,0.324090004,100.8607025,0.700299978,103.5542984,229.7453003
4171,2.481899977,0.339023024,108.0786972,0.621599972,104.055397,229.3878937
4171.5,2.483799934,0.338115007,105.4394989,0.716199994,104.5206986,224.5152893
4172,2.492300034,0.315515995,101.9039993,0.705200017,103.3255997,227.3097839
4172.5,2.490700007,0.314213008,100.7805023,0.771499991,102.9843979,222.016098
4173,2.481600046,0.310001999,102.2125015,0.712100029,102.9345017,225.4320984
4173.5,2.492599964,0.288206995,103.9497986,0.729799986,102.2164993,224.0030975
4174,2.503900051,0.320365995,96.68689728,0.740999997,102.2838974,222.0778046
4174.5,2.493000031,0.317483008,98.30919647,0.717499971,102.5241013,222.1651001
4175,2.482300043,0.304573983,92.49210358,0.715900004,101.9589081,219.6649933
4175.5,2.609400034,0.294777006,81.93009949,0.818199992,96.02020264,213.2539215
4176,2.490999937,0.322937012,95.35449982,0.718299985,100.7602997,209.7400971
4176.5,2.489900112,0.324431002,93.71690369,0.749899983,102.0960007,215.3184052
4177,2.491699934,0.29579699,92.51329804,0.734499991,102.1903992,216.8531036
4177.5,2.486900091,0.303725004,93.94989777,0.732800007,102.466301,218.7566986
4178,2.477099896,0.292468995,97.64630127,0.757000029,102.8964996,217.4729004
4178.5,2.495599985,0.302598983,95.42610169,0.785000026,102.4831009,217.5877075
4179,2.497800112,0.291844994,90.49829865,0.764299989,101.8115006,214.4799957
4179.5,2.495599985,0.305599004,96.97250366,0.773999989,101.1344986,212.8527985
4180,2.482599735,0.292896003,95.19920349,0.777999997,101.5817108,213.6220093
4180.5,2.48939991,0.293083996,90.35030365,0.7676,101.2310104,212.9736023
4181,2.490799904,0.288700014,89.30699921,0.755400002,100.9887009,212.7010193
4181.5,2.488699913,0.275301993,92.65139771,0.814800024,100.5337906,208.888504
4182,2.486200094,0.298406005,88.30069733,0.838400006,101.1900024,213.881485
4182.5,2.49029994,0.291402996,89.08630371,0.772899985,100.6677017,210.3383942
4183,2.481300116,0.28351602,94.33350372,0.743200004,100.9965973,211.5410004
4183.5,2.488899946,0.291739017,98.53739929,0.717299998,101.5403976,216.5019989
4184,2.503299952,0.291942984,91.4885025,0.803900003,100.4620056,213.665802
4184.5,2.497200012,0.291864991,94.16699982,0.823700011,100.8211975,212.339798
4185,2.483200312,0.285403997,93.23349762,0.793200016,101.2001038,209.1824036
4185.5,3.001399994,0.294710994,68.77079773,1.798499942,85.13580322,168.3162994
4186,2.501399994,0.250602007,92.85430145,0.796299994,100.0566025,201.2686005
4186.5,2.474900007,0.28036201,83.38590241,0.817399979,100.7958069,206.4298096
4187,2.478300095,0.270090997,88.00229645,0.827700019,99.44068909,201.0433044
4187.5,2.496700048,0.266112,88.72180176,0.851199985,99.40910339,201.7559967
4188,2.487900019,0.262715995,88.05660248,0.815500021,100.3234024,204.012207
4188.5,2.472300053,0.270163983,87.63240051,0.85769999,100.1920013,204.6552887
4189,2.488899946,0.254182994,91.10649872,0.833000004,98.95819855,202.4709015
4189.5,2.493200064,0.264174014,99.36730194,0.799799979,100.6628037,208.0136108
4190,2.489200115,0.272307992,93.66429901,0.770699978,101.0010986,211.528595
4190.5,2.497900009,0.268628001,93.3986969,0.773400009,100.7556992,209.3547974
4191,2.496700048,0.244890004,89.79309845,0.779699981,100.9044037,208.0794067
4191.5,2.486299992,0.292522997,96.42680359,0.755100012,102.0560989,213.4633942
4192,2.476999998,0.293931007,95.97109985,0.778299987,100.7839966,209.0332947
4192.5,2.487600088,0.27659598,93.96839905,0.811699987,100.3106003,206.3052979
4193,2.482300043,0.297695994,92.39099884,0.76819998,100.6340027,208.8029022
4193.5,2.490400076,0.27273801,80.53759766,0.82099998,99.84190369,208.5070953
4194,2.50880003,0.289090008,88.07299805,0.805000007,99.91390228,202.8309937
4194.5,2.495599985,0.276856989,89.04810333,0.819999993,99.1536026,205.0592041
4195,2.487400055,0.27234,90.47609711,0.813799977,99.72319031,203.9262085
4195.5,2.488300085,0.283172011,85.25810242,0.835600019,99.22969818,206.4837036
4196,2.5,0.284815997,86.11799622,0.814999998,99.36969757,202.2368012
4196.5,2.494399786,0.289593995,87.603302,0.809000015,100.1733017,207.017395
4197,2.486000061,0.268842995,87.27649689,0.844900012,99.54639435,203.1212006
4197.5,2.484999895,0.278602988,95.48770142,0.767099977,100.1928024,207.0010071
4198,2.4927001,0.278649002,89.60939789,0.762899995,100.1836014,208.9420013
4198.5,2.486000061,0.28637898,85.16600037,0.754299998,100.651001,208.4897003
4199,2.493900061,0.302336007,90.25039673,0.775600016,100.9328079,213.8477936
4199.5,2.487499952,0.285793006,91.0463028,0.745800018,100.6231003,211.0632935
4200,2.492199898,0.281421006,92.27899933,0.833299995,100.0542984,207.5669098
4200.5,2.504600048,0.275175005,89.47720337,0.801900029,99.06900787,203.5574036
4201,2.520200014,0.277808011,83.93219757,0.976000011,98.36789703,193.0641022
4201.5,2.502799988,0.276057005,84.26599884,0.829599977,98.57980347,204.8836212
4202,2.502500057,0.291495979,90.81520081,0.821799994,99.4552002,205.9711151
4202.5,2.493200064,0.290688008,83.68039703,0.799499989,99.52719879,208.4105988
4203,2.498600006,0.284685016,89.64489746,0.77670002,100.4534988,207.196106
4203.5,2.509399891,0.286888987,94.81929779,0.782899976,99.90799713,204.5332794
4204,2.511300087,0.282411009,86.49729919,0.789499998,99.84290314,205.5095978
4204.5,2.50090003,0.285634995,93.38439941,0.769699991,100.7845993,211.7465973
4205,2.506599903,0.264783979,82.55310059,0.752600014,96.04070282,199.6042938
4205.5,2.627899885,0.267161012,81.37519836,0.776000023,95.94360352,201.280304
4206,2.51760006,0.274089992,91.59089661,0.812600017,100.2957993,209.0832214
4206.5,2.500799894,0.27186501,86.37110138,0.772300005,100.0822983,206.4359131
4207,2.519099951,0.288006991,92.34680176,0.779500008,100.1660004,207.4884033
4207.5,2.506200314,0.283080995,89.41999817,0.768400013,101.5243988,207.9756928
4208,2.498399973,0.277725995,82.4111023,0.815699995,99.92459869,203.5126038
4208.5,2.495300055,0.269919992,95.01049805,0.72359997,100.7318039,210.1750031
4209,2.551500082,0.283614993,92.53330231,0.818499982,99.16649628,205.0301971
4209.5,2.511600018,0.298381001,94.17079926,0.767700017,100.5511017,208.3139954
4210,2.57949996,0.283581018,76.84999847,0.901899993,94.67430115,198.5207214
4210.5,2.537499905,0.275529981,100.1159973,0.787800014,99.64630127,199.502121
4211,2.515899897,0.285358012,87.76409912,0.773000002,100.1278992,205.1201172
4211.5,2.508899927,0.260921001,94.52159882,0.798799992,100.1505966,204.7671967
4212,2.51060009,0.291882008,91.72309876,0.849900007,100.6559982,208.1921845
4212.5,2.509900093,0.27570802,96.56700134,0.781300008,101.9115982,212.7171936
4213,2.503299952,0.284027994,95.19270325,0.735700011,102.8728027,216.524704
4213.5,2.49819994,0.304475993,94.95839691,0.743900001,100.0803986,210.596405
4214,2.562000036,0.278335005,98.69989777,0.735499978,99.98690033,208.7176056
